成品代號,成品名稱
118AU065,春之頌綜合餅乾禮盒575gX6盒
125AN039,法式經典千層蝴蝶酥禮盒411gX6盒
134AU003,雙味微笑河馬餅禮盒520gX6盒
818AU006,(外)TRIKO巧克力餅坊-綜合570gX6盒
319AU001,(台酒)紅麴捲心酥禮盒-綜合800gX8盒
319AU001-AH,(半)(台酒)紅麴捲心酥禮盒-牛奶400gX8盒
319AU001-AD,(半)(台酒)紅麴捲心酥禮盒-巧克力400gX8盒
319AU004,(台酒)紅麴捲心酥禮盒(日式抹茶/清新檸檬)800gX8盒
319AU004-CZ,(半)台酒紅麴捲心酥禮盒(日式抹茶)400GX8盒
319AU004-AC,(半)台酒紅麴捲心酥禮盒(清新檸檬)400GX8盒
125AN016,法式奶油千層酥禮盒510gX6盒
925AN003,(半)法式奶油千層酥85g/包
104AU004A,"手製煎餅綜合禮盒(花生+綠藻,2023年版)470gX6盒"
904AU004AA,(半)手製煎餅禮盒-花生78.33g(以包計)
904AU004AB,(半)手製煎餅禮盒-綠藻78.33g(以包計)
104AU007,手燒煎餅禮盒(花生+綠藻)470gX6盒
904AU007A,(半)手燒煎餅禮盒-花生78.33g(以包計)
904AU007B,(半)手燒煎餅禮盒-綠藻78.33g(以包計)
805AU009,(外)捲心餅禮盒-咖啡+榛果巧克力700gX6罐
805AU009-AG,(半)捲心餅禮盒-咖啡350G*6罐  
805AU009-AJ,(半)捲心餅禮盒-榛果巧克力350G*6罐
107AU002,法國酥禮盒-綜合450gX6盒
107AU003,HelloKitty法國薄酥禮盒-綜合450gX6盒
807AU004,(外)HelloKitty法國薄酥禮盒(TRIKO版)-綜合450gX6盒
807AU009A,(外)法國酥禮盒(ATTI年節版)-綜合450gX6盒
807AU009B,(外)法國酥禮盒(ATTI版)-綜合450gX6盒
907AA007,(半)法國酥禮盒-草苺75g(以包計)
907AG001,(半)法國酥禮盒-咖啡75g(以包計)
807AU001,(外)法國酥禮盒-綜合 700g X 6罐入
807AU001-AA,(半)法國酥禮盒-草莓 350g X 6罐入
807AU001-BK,(半)法國酥禮盒-桔子 700g X 6罐入
934AN001,(半)微笑河馬餅-空餅(以kg計)
134AD001,微笑河馬餅-巧克力風味60gX12包
134AD005,微笑河馬餅-純黑巧克力風味84gX12包
134AH001,微笑河馬餅-牛奶風味60gX12包
134AU001,微笑河馬餅-草莓巧克力風味60gX12包
134BG001,微笑河馬餅-奶茶風味84gX12包
834AD004,(外)微笑河馬餅-巧克力風味(歐盟版)60gX12包
834AU004,(外)微笑河馬餅-草莓巧克力風味(歐盟版)60gX12包
934AU007C,(半)微笑河馬餅-巧克力20g/小包(以kg計)
934AU007D,(半)微笑河馬餅-草莓巧克力20g/小包(以kg計)
934BU001,(半)微笑河馬餅-莓果風味20g/小包(以kg計)
934CZ001,(半)微笑河馬餅-茶歐蕾風味20g/小包(以kg計)
934AU007E,(半)微笑河馬餅-巧克力(節貨)20g/小包(以kg計)
934AU007F,(半)微笑河馬餅-草莓巧克力(節貨)20g/小包(以kg計)
134AD002,微笑河馬餅-巧克力風味200gX10包
134AU002,微笑河馬餅-草莓巧克力風味200gX10包
134BU001,(量)微笑河馬餅莓果風味100gX10包
134CZ001,(量)微笑河馬餅茶歐蕾風味100gX10包
129AA001,蒟蒻習慣-草莓蒟蒻180gX6包X6盒
129AA002,(魷魚遊戲2)蒟蒻習慣-草莓口味180gX6包X6盒
