品號,品名,中類名稱,貨品規格,庫位
105AG013A,捲心脆捲-咖啡口味165gX10包,捲心餅,捲心餅包裝,A129
105AG014,NC摩卡咖啡脆捲1000g單盒裝,捲心餅,捲心餅包裝,A130
105AU014,(量)芭樂檸檬厚捲燒94gX10包,捲心餅,捲心餅包裝,A131
405AE005,濃厚芋頭牛奶脆捲500gX5包,捲心餅,捲心餅包裝,A132
405AE006,濃厚芋頭牛奶脆捲(減糖版)3kgX2包,捲心餅,捲心餅包裝,A133
405AG001C,咖啡脆捲500gX5包,捲心餅,捲心餅包裝,A134
805AGKR003,(外)NC捲心脆捲-咖啡(韓文版)180g X 12包入,捲心餅,捲心餅包裝,A135
905AE001,(半)歐式午茶禮盒-香芋脆捲,(半)捲心餅半成品,捲心餅包裝,A136
905AG002,(半)酥餅總匯-咖啡捲,(半)捲心餅半成品,捲心餅包裝,A137
905AG003,(半)榚餅舖禮盒-拿鐵咖啡脆捲,(半)捲心餅半成品,捲心餅包裝,A138
905AG005,(半)午茶禮盒-(真好禮)拿鐵咖啡脆捲,(半)捲心餅半成品,捲心餅包裝,A139
905AG007,(半)真好禮法式經典綜合餅乾禮盒-咖啡脆捲,(半)捲心餅半成品,捲心餅包裝,A140
905AJ001,(半)巧克力餅坊-榛果脆卷(長支),(半)捲心餅半成品,捲心餅包裝,A141
905AJ002,(半)米奇巧克力餅坊-榛果脆卷(短支),(半)捲心餅半成品,捲心餅包裝,A142
905AJ003,(半)歐式午茶禮盒-榛果巧克力脆捲,(半)捲心餅半成品,捲心餅包裝,A143
905AJ005,(半)真好禮法式經典綜合餅乾禮盒-榛果巧克力脆捲,(半)捲心餅半成品,捲心餅包裝,A144
905AJ015,(半)迪士尼收納罐-榛果巧克力脆捲(以kg計),(半)捲心餅半成品,捲心餅包裝,A145
905AU009A,(半)濃厚花生脆捲112.5g(以包計),(半)捲心餅半成品,捲心餅包裝,A146
905AU009B,(半)濃厚芋頭牛奶脆捲112.5g(以包計),(半)捲心餅半成品,捲心餅包裝,A147
918AU065C,(半)春之頌經典餅乾禮盒-濃厚花生脆捲(以kg計),(半)綜合半成品,捲心餅包裝,A148
107AA005A,法國酥-草莓128gX10包,法國酥,法國酥包裝,A149
107AA007,濃厚草莓法國酥110gX10包,法國酥,法國酥包裝,A150
107AA008,濃厚草莓法國酥168gX10盒,法國酥,法國酥包裝,A151
107AA016,濃草莓薄燒(全家版)100gX10包,法國酥,法國酥包裝,A152
107AA017A,極濃草莓薄燒(2025年版)88gX10包,法國酥,法國酥包裝,A153
107AA018,極濃草莓薄燒100gX10包,法國酥,法國酥包裝,A154
107AA019,(量)濃草莓薄燒(增值加量版)110gX10包,法國酥,法國酥包裝,A155
107AB004,極濃花生薄燒88gX10包,法國酥,法國酥包裝,A156
107AD002A,歐式午茶法國薄酥-巧克力128gX10包,法國酥,法國酥包裝,A157
107AD005,濃厚巧克力風味法國酥(立袋)110gX10包,法國酥,法國酥包裝,A158
107AD009,濃厚巧克力風味法國酥168gX10盒,法國酥,法國酥包裝,A159
107AD011,濃巧克力風味薄燒(全家版)100gX10包,法國酥,法國酥包裝,A160
107AE001A,大甲芋頭薄燒(2023年版)88gX10包,法國酥,法國酥包裝,A161
107AE004,(量)大甲芋頭薄燒88gX10包,法國酥,法國酥包裝,A162
107AG004,法國酥-維也納咖啡180gX10盒,法國酥,法國酥包裝,A163
107AT001,台南愛文芒果薄燒100gX10包,法國酥,法國酥包裝,A164
107AU011,法式鹽之花榛果可可法國酥100gX10包,法國酥,法國酥包裝,A165
107BX002,濃厚哈密瓜法國酥168gX10盒,法國酥,法國酥包裝,A166
107BX003A,夕張哈密瓜風味薄燒88gX10包,法國酥,法國酥包裝,A167
107CZ001,濃厚靜岡抹茶法國酥100gX10包,法國酥,法國酥包裝,A168
107CZ004,SOMA茶歐蕾法國酥88gX10包,法國酥,法國酥包裝,A169
107CZ008,SOMA烏龍茶歐蕾法國酥100gX10包,法國酥,法國酥包裝,A170
307AA011,(納智捷)草莓法國酥2.75kg(1.375kgX2包),法國酥,法國酥包裝,A171
307AG006,(NISSAN)法式薄餅-維也納咖啡口味1.5kgX2包,法國酥,法國酥包裝,A172
407AA001B,法國酥-草莓500gX5包(共用紙箱),法國酥,法國酥包裝,A173
407AG001B,法國酥-維也納咖啡500gX5包(共用紙箱),法國酥,法國酥包裝,A174
807AA015,(外)濃草莓薄燒(韓文版)100gX10包,法國酥,法國酥包裝,A175
807AD007,(外)濃巧克力風味薄燒(韓文版)100gX10包,法國酥,法國酥包裝,A176
907AA002,(半)巧克力餅坊-法國酥草苺巧克力,(半)法國酥半成品,法國酥包裝,A177
907AA009,(半)午茶禮盒-(真好禮)草莓法國酥(白皮),(半)法國酥半成品,法國酥包裝,A178
907AA012,(半)真好禮法式經典綜合餅乾禮盒-草莓法國薄酥,(半)法國酥半成品,法國酥包裝,A179
907AB001,(半)酥餅總匯-法國酥花生,(半)法國酥半成品,法國酥包裝,A180
907AG002,(半)歐式午茶禮盒-維也納咖啡法國酥,(半)法國酥半成品,法國酥包裝,A181
907AU012A,(半)濃厚雙味法國酥禮盒-茶歐蕾(以kg計),(半)法國酥半成品,法國酥包裝,A182
907AU012B,(半)濃厚雙味法國酥禮盒-巧克力(以kg計),(半)法國酥半成品,法國酥包裝,A183
918AU065D,(半)春之頌經典餅乾禮盒-濃厚巧克力法國酥(以kg計),(半)綜合半成品,法國酥包裝,A184
105AJ001A,米奇榛果巧克力脆捲桶140gX6桶,捲心餅,中港廠手工組包裝,A185
105AJ018,奇奇蒂蒂收納罐2入餅乾組260gX6盒,捲心餅,中港廠手工組包裝,A186
105AU009,醇韻雙味脆捲禮盒450gX6盒,捲心餅,中港廠手工組包裝,A187
106AU004,曲奇范特西禮物盒484gX6盒,西點,中港廠手工組包裝,A188
107AU012,濃厚雙味法國酥禮盒380gX8盒,法國酥,中港廠手工組包裝,A189
107AU013,濃厚雙味法國酥380gX2盒,法國酥,中港廠手工組包裝,A190
118AU002A,糕餅舖禮盒-綜合(2018年版)520gX6盒,綜合,中港廠手工組包裝,A191
118AU007A,酥餅總匯量販盒-綜合(2018年版)210gX10盒,綜合,中港廠手工組包裝,A192
118AU017A,真好禮-盛香珍綜合午茶餅乾禮盒610gX6盒(2024年版),綜合,中港廠手工組包裝,A193
118AU018,TRIKO真好禮巧克力餅坊-綜合570gX6盒(2012年版),綜合,中港廠手工組包裝,A194
118AU019,歐式午茶禮盒-綜合580gX6盒,綜合,中港廠手工組包裝,A195
118AU023,真好禮法式經典綜合餅乾禮盒320gX6盒,綜合,中港廠手工組包裝,A196
118AU043A,(福利熊)酥餅總匯-綜合(2018年版)300gX10包,綜合,中港廠手工組包裝,A197
118AU065,春之頌綜合餅乾禮盒575gX6盒,綜合,中港廠手工組包裝,A198
125AN039,法式經典千層蝴蝶酥禮盒411gX6盒,派&滾印餅乾,中港廠手工組包裝,A199
134AU003,雙味微笑河馬餅禮盒520gX6盒,河馬餅,中港廠手工組包裝,A200
818AU006,(外)TRIKO巧克力餅坊-綜合570gX6盒,綜合,中港廠手工組包裝,A201
319AU001,(台酒)紅麴捲心酥禮盒-綜合800gX8盒,捲心酥,捲心酥包裝,B1
319AU001-AH,(半)(台酒)紅麴捲心酥禮盒-牛奶400gX8盒,(半)捲心酥半成品,捲心酥包裝,B2
319AU001-AD,(半)(台酒)紅麴捲心酥禮盒-巧克力400gX8盒,(半)捲心酥半成品,捲心酥包裝,B3
